ACTIE,TYPE,TAFEL,DATUM,MEDEWERKER,DEBIT,CREDIT,AANTAL,BTW,BOEK,PRODUCT,TRANSACTIE,BESTELID,DAY,AFGEREKEND
item,toegevoegd,Tafel Counter 1,2025/02/02 12:05:01,Manager,4.00,,1,9,8010,Double espresso,,DRjfW6aOTOJJBxk4fTbtQC,02-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/02 12:05:03,Manager,,11.00,,,,,PIN,DRjfW6aOTOJJBxk4fTbtQC,02-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/02 12:08:38,Manager,20.00,,1,9,8010,Baking PAN Focaccia 20,,ShrSLjfVI3rIoe3TlE84c9,02-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/02 12:08:40,Manager,,20.00,,,,,PIN,ShrSLjfVI3rIoe3TlE84c9,02-02-2025,
item,toegevoegd,Tafel Muretto Indoor,2025/02/02 12:34:14,Manager,7.60,,1,21,8011,Gl GRIGNOLINO,,M8cmoSvxzL6KcSfZcH2ND,02-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/02 12:34:14,Manager,18.00,,1,9,8010,PASTA 18,,M8cmoSvxzL6KcSfZcH2ND,02-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/02 12:34:14,Manager,18.50,,1,9,8010,PASTA 18.50,,M8cmoSvxzL6KcSfZcH2ND,02-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/02 12:57:27,Manager,7.00,,1,9,8010,Torta 7,,M8cmoSvxzL6KcSfZcH2ND,02-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/02 12:57:27,Manager,6.00,,1,9,8010,Torta 6,,M8cmoSvxzL6KcSfZcH2ND,02-02-2025,verkoop
transactie,,Tafel Muretto Indoor,2025/02/02 12:59:11,Manager,,57.10,,,,,PIN,M8cmoSvxzL6KcSfZcH2ND,02-02-2025,
item,toegevoegd,Tafel Vetrina Indoor,2025/02/02 13:31:35,Manager,9.00,,3,9,8010,Can,,A6T8EjVTqAVMkqg5MGWhWP,02-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/02 13:31:35,Manager,3.50,,1,9,8010,slice FOCACCIA,,A6T8EjVTqAVMkqg5MGWhWP,02-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/02 13:31:35,Manager,9.00,,2,9,8010,Veggie S 4.5,,A6T8EjVTqAVMkqg5MGWhWP,02-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/02 13:31:35,Manager,15.00,,1,9,8010,PASTA 15,,A6T8EjVTqAVMkqg5MGWhWP,02-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/02 13:31:35,Manager,17.50,,1,9,8010,Pasta 17.50,,A6T8EjVTqAVMkqg5MGWhWP,02-02-2025,verkoop
transactie,,Tafel Vetrina Indoor,2025/02/02 13:40:02,Manager,,54.00,,,,,PIN,A6T8EjVTqAVMkqg5MGWhWP,02-02-2025,
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 13:32:05,Manager,6.00,,1,9,8010,SALAD di Casa,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 13:32:05,Manager,2.30,,1,9,8010,Coffee/Espresso,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 13:32:05,Manager,3.00,,1,9,8010,Latte,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 13:32:05,Manager,8.50,,1,21,8011,Gl SPRITZ,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 13:32:05,Manager,3.00,,1,9,8010,Can,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 14:06:22,Manager,24.50,,1,9,8010,Antipasto Double,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 14:06:22,Manager,36.00,,1,9,8010,Tagliere Double,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 14:06:22,Manager,10.00,,1,9,8010,Pasta 10,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 14:06:22,Manager,25.50,,3,21,8011,Gl SPRITZ,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 14:06:22,Manager,4.00,,1,9,8010,Double espresso,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 14:06:22,Manager,3.00,,1,9,8010,Can,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 14:06:22,Manager,41.00,,1,21,8011,btl NEBBIOLO,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 14:06:22,Manager,2.50,,1,9,8010,Tea/American Coffe,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 14:16:07,Manager,4.50,,1,9,8010,Water 750,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 15:30:10,Manager,36.00,,2,9,8010,PASTA 18,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 15:30:10,Manager,4.00,,1,9,8010,Double espresso,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 15:30:10,Manager,2.50,,1,9,8010,Tea/American Coffe,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 15:30:10,Manager,41.00,,1,21,8011,btl NEBBIOLO,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 15:30:10,Manager,8.50,,1,21,8011,Gl SPRITZ,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 15:30:10,Manager,30.00,,2,9,8010,PASTA 15,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 15:30:10,Manager,17.00,,1,9,8010,Pasta 17,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/02 15:30:10,Manager,6.00,,1,9,8010,Pasta Kid TOMATO,,NxO5rHuBgk1vpMak369rN,02-02-2025,verkoop
